Name,playerid,Team,Pos,WAR,height,weight,z_score,BMI,combined_data,label,Random
Jose Ramirez,10171,Braves,P,-0.4,73,215,-1.157224716,28.36273222,-1.15722471590346_73_215_28.3627322199287,1,0.853941762
Jared Hughes,9325,Brewers,P,0.5,79,240,-0.597858237,27.03412915,-0.597858237419762_79_240_27.0341291459702,2,0.854874961
Steven Souza Jr.,5667,Rays,RF,3.7,76,225,1.391000353,27.38486842,1.3910003527445_76_225_27.3848684210526,5,0.855776381
Jose Abreu,15676,White Sox,1B,4.1,75,255,1.639607677,31.86933333,1.63960767651503_75_255_31.8693333333333,5,0.857653951
Chris Herrmann,9284,Diamondbacks,C/LF,-0.6,72,200,-1.281528378,27.12191358,-1.28152837778873_72_200_27.1219135802469,1,0.858053813
C.J. Cron,12546,Angels,1B,0.5,76,235,-0.597858237,28.60197368,-0.597858237419762_76_235_28.6019736842105,2,0.858556398
Jorge Polanco,13152,Twins,SS,1.6,71,200,0.085811903,27.89129141,0.0858119029492039_71_200_27.8912914104344,3,0.859033295
Jonathan Lucroy,7870,- - -,C,1.2,72,200,-0.162795421,27.12191358,-0.162795420821329_72_200_27.1219135802469,3,0.861647845
Mookie Betts,13611,Red Sox,RF,5.3,69,180,2.385429648,26.57844991,2.38542964782663_69_180_26.578449905482,7,0.862716904
Sean Doolittle,1581,- - -,P,1.7,74,210,0.147963734,26.95945946,0.147963733891837_74_210_26.9594594594595,3,0.862789443
Luke Jackson,11752,Braves,P,0.1,74,210,-0.846465561,26.95945946,-0.846465561190295_74_210_26.9594594594595,2,0.862916481
Mike Moustakas,4892,Royals,3B,2.2,72,215,0.458722889,29.1560571,0.458722888605003_72_215_29.1560570987654,4,0.863099688
Jakob Junis,13619,Royals,P,0.9,74,225,-0.349250914,28.88513514,-0.349250913649229_74_225_28.8851351351351,2,0.863424823
JC Ramirez,8302,Angels,P,1.1,76,250,-0.224947252,30.42763158,-0.224947251763962_76_250_30.4276315789474,3,0.863870354
Matt Adams,9393,- - -,1B,1.6,75,260,0.085811903,32.49422222,0.0858119029492039_75_260_32.4942222222222,3,0.865042858
Dellin Betances,6216,Yankees,P,1.2,80,265,-0.162795421,29.10859375,-0.162795420821329_80_265_29.10859375,3,0.86856928
Salvador Perez,7304,Royals,C,2.1,75,240,0.396571058,29.99466667,0.39657105766237_75_240_29.9946666666667,4,0.869630846
Joe Biagini,13194,Blue Jays,P,1.4,77,240,-0.038491759,28.45673807,-0.0384917589360627_77_240_28.4567380671277,3,0.875096023
