Name,playerid,Team,Pos,VBD,height,weight,z_score,BMI,combined_data,label
Todd Gurley*+,GurlTo01,LAR,RB,192,73,226,3.819297466852124,29.81384875211109,3.81929746685212_73_226_29.8138487521111,10
Le'Veon Bell*+,BellLe00,PIT,RB,132,74,230,2.945874714292343,29.527027027027028,2.94587471429234_74_230_29.527027027027,8
Kareem Hunt*,HuntKa00,KAN,RB,115,70,216,2.698404934400405,30.98938775510204,2.69840493440041_70_216_30.989387755102,8
Alvin Kamara*,KamaAl00,NOR,RB,106,70,214,2.567391521516438,30.702448979591836,2.56739152151644_70_214_30.7024489795918,8
Melvin Gordon,GordMe00,LAC,RB,103,73,207,2.523720383888449,27.307374741977856,2.52372038388845_73_207_27.3073747419779,8
DeAndre Hopkins*+,HopkDe00,HOU,WR,103,73,214,2.523720383888449,28.23081253518484,2.52372038388845_73_214_28.2308125351848,8
Russell Wilson*,WilsRu00,SEA,QB,99,71,203,2.4654922003844635,28.309660781590953,2.46549220038446_71_203_28.309660781591,7
Antonio Brown*+,BrowAn04,PIT,WR,98,70,180,2.450935154508467,25.824489795918367,2.45093515450847_70_180_25.8244897959184,7
Mark Ingram*,IngrMa01,NOR,RB,93,70,215,2.3781499251284854,30.84591836734694,2.37814992512849_70_215_30.8459183673469,7
LeSean McCoy*,McCoLe01,BUF,RB,78,70,215,2.15979423698854,30.84591836734694,2.15979423698854_70_215_30.8459183673469,7
Rob Gronkowski*+,GronRo00,NWE,TE,76,78,265,2.1306801452365476,30.620479947403023,2.13068014523655_78_265_30.620479947403,7
Travis Kelce*,KelcTr00,KAN,TE,69,77,255,2.028780824104573,30.235284196323157,2.02878082410457_77_255_30.2352841963232,7
Leonard Fournette,FourLe00,JAX,RB,67,72,240,1.9996667323525803,32.5462962962963,1.99966673235258_72_240_32.5462962962963,7
Keenan Allen*,AlleKe00,LAC,WR,63,74,206,1.9414385488485948,26.445945945945947,1.94143854884859_74_206_26.4459459459459,7
Marvin Jones,JoneMa02,DET,WR,53,74,198,1.7958680900886315,25.41891891891892,1.79586809008863_74_198_25.4189189189189,6
Tyreek Hill*,HillTy00,KAN,WR,51,70,185,1.766753998336639,26.541836734693877,1.76675399833664_70_185_26.5418367346939,6
Julio Jones*,JoneJu02,ATL,WR,51,76,220,1.766753998336639,26.776315789473685,1.76675399833664_76_220_26.7763157894737,6
Ezekiel Elliott,ElliEz00,DAL,RB,50,72,225,1.7521969524606424,30.51215277777778,1.75219695246064_72_225_30.5121527777778,6
Jordan Howard,HowaJo00,CHI,RB,50,73,225,1.7521969524606424,29.681929067367236,1.75219695246064_73_225_29.6819290673672,6
Carlos Hyde,HydeCa00,SFO,RB,48,72,230,1.72308286070865,31.19020061728395,1.72308286070865_72_230_31.1902006172839,6
Zach Ertz*,ErtzZa00,PHI,TE,48,77,249,1.72308286070865,29.523865744644965,1.72308286070865_77_249_29.523865744645,6
Cam Newton,NewtCa00,CAR,QB,48,78,260,1.72308286070865,30.042735042735043,1.72308286070865_78_260_30.042735042735,6
Alex Smith,SmitAl03,KAN,QB,44,76,212,1.6648546772046644,25.80263157894737,1.66485467720466_76_212_25.8026315789474,6
Brandin Cooks,CookBr00,NWE,WR,43,70,189,1.6502976313286681,27.115714285714287,1.65029763132867_70_189_27.1157142857143,6
Michael Thomas*,ThomMi05,NOR,WR,42,75,212,1.6357405854526716,26.49528888888889,1.63574058545267_75_212_26.4952888888889,6
Tom Brady*+,BradTo00,NWE,QB,41,76,225,1.6211835395766754,27.38486842105263,1.62118353957668_76_225_27.3848684210526,6
Larry Fitzgerald*,FitzLa00,ARI,WR,39,75,225,1.5920694478246826,28.12,1.59206944782468_75_225_28.12,6
A.J. Green*,GreeA.00,CIN,WR,39,76,205,1.5920694478246826,24.950657894736842,1.59206944782468_76_205_24.9506578947368,6
Dion Lewis,LewiDi00,NWE,RB,38,68,195,1.5775124019486864,29.646410034602077,1.57751240194869_68_195_29.6464100346021,6
Davante Adams,AdamDa01,GNB,WR,38,73,212,1.5775124019486864,27.96697316569713,1.57751240194869_73_212_27.9669731656971,6
Devonta Freeman,FreeDe00,ATL,RB,37,68,206,1.5629553560726899,31.31877162629758,1.56295535607269_68_206_31.3187716262976,6
Adam Thielen*,ThieAd00,MIN,WR,36,75,200,1.5483983101966936,24.995555555555555,1.54839831019669_75_200_24.9955555555556,6
Doug Baldwin,BaldDo00,SEA,WR,35,70,189,1.5338412643206973,27.115714285714287,1.5338412643207_70_189_27.1157142857143,6
Jarvis Landry,LandJa00,MIA,WR,35,72,205,1.5338412643206973,27.799961419753085,1.5338412643207_72_205_27.7999614197531,6
Jimmy Graham*,GrahJi00,SEA,TE,34,79,260,1.5192842184447009,29.286973241467713,1.5192842184447_79_260_29.2869732414677,6
Lamar Miller,MillLa01,HOU,RB,31,71,215,1.4756130808167118,29.983138266217022,1.47561308081671_71_215_29.983138266217,6
Carson Wentz*,WentCa00,PHI,QB,29,77,237,1.446498989064719,28.10102884128858,1.44649898906472_77_237_28.1010288412886,6
Evan Engram,EngrEv00,NYG,TE,28,75,234,1.4319419431887228,29.2448,1.43194194318872_75_234_29.2448,6
Robby Anderson,AndeRo04,NYJ,WR,26,75,190,1.40282785143673,23.74577777777778,1.40282785143673_75_190_23.7457777777778,6
Alshon Jeffery,JeffAl00,PHI,WR,26,76,230,1.40282785143673,27.99342105263158,1.40282785143673_76_230_27.9934210526316,6
Matthew Stafford,StafMa00,DET,QB,23,74,230,1.359156713808741,29.527027027027028,1.35915671380874_74_230_29.527027027027,6
Kirk Cousins,CousKi00,WAS,QB,23,75,214,1.359156713808741,26.745244444444445,1.35915671380874_75_214_26.7452444444444,6
Christian McCaffrey,McCaCh01,CAR,RB,22,71,202,1.3445996679327448,28.170204324538783,1.34459966793274_71_202_28.1702043245388,6
Alex Collins,CollAl00,BAL,RB,21,71,218,1.3300426220567483,30.401507637373538,1.33004262205675_71_218_30.4015076373735,6
Stefon Diggs,DiggSt00,MIN,WR,21,72,195,1.3300426220567483,26.44386574074074,1.33004262205675_72_195_26.4438657407407,6
JuJu Smith-Schuster,SmitJu00,PIT,WR,21,73,215,1.3300426220567483,28.36273221992869,1.33004262205675_73_215_28.3627322199287,6
Devin Funchess,FuncDe00,CAR,WR,21,77,230,1.3300426220567483,27.271040647664023,1.33004262205675_77_230_27.271040647664,6
Mike Evans,EvanMi00,TAM,WR,21,77,231,1.3300426220567483,27.38961038961039,1.33004262205675_77_231_27.3896103896104,6
C.J. Anderson,AndeC.00,DEN,RB,20,68,224,1.315485576180752,34.055363321799305,1.31548557618075_68_224_34.0553633217993,6
Golden Tate,TateGo00,DET,WR,20,71,195,1.315485576180752,27.194009125173576,1.31548557618075_71_195_27.1940091251736,6
Delanie Walker,WalkHu00,TEN,TE,19,73,241,1.3009285303047557,31.792644023268906,1.30092853030476_73_241_31.7926440232689,6
Kyle Rudolph,RudoKy00,MIN,TE,19,77,265,1.3009285303047557,31.42098161578681,1.30092853030476_77_265_31.4209816157868,6
Frank Gore,GoreFr00,IND,RB,18,69,215,1.2863714844287593,31.746481831547992,1.28637148442876_69_215_31.746481831548,6
Marshawn Lynch,LyncMa00,OAK,RB,17,71,215,1.271814438552763,29.983138266217022,1.27181443855276_71_215_29.983138266217,6
Philip Rivers*,RivePh00,LAC,QB,17,77,228,1.271814438552763,27.033901163771294,1.27181443855276_77_228_27.0339011637713,6
Latavius Murray,MurrLa00,MIN,RB,16,75,225,1.2572573926767665,28.12,1.25725739267677_75_225_28.12,6
Duke Johnson,JohnDu00,CLE,RB,15,69,206,1.2427003468007702,30.417559336273893,1.24270034680077_69_206_30.4175593362739,6
Tevin Coleman,ColeTe01,ATL,RB,14,72,210,1.228143300924774,28.47800925925926,1.22814330092477_72_210_28.4780092592593,6
Demaryius Thomas,ThomDe03,DEN,WR,14,75,229,1.228143300924774,28.61991111111111,1.22814330092477_75_229_28.6199111111111,6
Nelson Agholor,AghoNe00,PHI,WR,13,73,190,1.2135862550487775,25.064740101332333,1.21358625504878_73_190_25.0647401013323,6
Cameron Brate,BratCa00,TAM,TE,13,77,235,1.2135862550487775,27.863889357395852,1.21358625504878_77_235_27.8638893573959,6
Dak Prescott,PresDa01,DAL,QB,12,74,226,1.1990292091727812,29.013513513513512,1.19902920917278_74_226_29.0135135135135,5
Jack Doyle,DoylJa00,IND,TE,9,77,254,1.1553580715447922,30.11671445437679,1.15535807154479_77_254_30.1167144543768,5
Drew Brees*,BreeDr00,NOR,QB,8,72,209,1.1408010256687957,28.342399691358025,1.1408010256688_72_209_28.342399691358,5
Ben Roethlisberger*,RoetBe00,PIT,QB,8,77,240,1.1408010256687957,28.456738067127677,1.1408010256688_77_240_28.4567380671277,5
T.Y. Hilton,HiltT.00,IND,WR,6,70,183,1.1116869339168032,26.254897959183673,1.1116869339168_70_183_26.2548979591837,5
DeMarco Murray,MurrDe00,TEN,RB,6,72,214,1.1116869339168032,29.020447530864196,1.1116869339168_72_214_29.0204475308642,5
Kenny Stills,StilKe00,MIA,WR,4,73,194,1.0825728421648104,25.59241884030775,1.08257284216481_73_194_25.5924188403078,5
Dez Bryant,BryaDe01,DAL,WR,4,74,225,1.0825728421648104,28.885135135135137,1.08257284216481_74_225_28.8851351351351,5
Cooper Kupp,KuppCo00,LAR,WR,2,74,204,1.0534587504128177,26.18918918918919,1.05345875041282_74_204_26.1891891891892,5
Jason Witten,WittJa00,DAL,TE,2,77,257,1.0534587504128177,30.472423680215886,1.05345875041282_77_257_30.4724236802159,5
Michael Crabtree,CrabMi00,OAK,WR,1,74,215,1.0389017045368214,27.60135135135135,1.03890170453682_74_215_27.6013513513514,5
Marquise Goodwin,GoodMa00,SFO,WR,0,69,183,1.024344658660825,27.02142407057341,1.02434465866082_69_183_27.0214240705734,5
Jerick McKinnon,McKiJe00,MIN,RB,0,69,205,1.024344658660825,30.269901281243435,1.02434465866082_69_205_30.2699012812434,5
Jermaine Kearse,KearJe01,NYJ,WR,0,73,212,1.024344658660825,27.96697316569713,1.02434465866082_73_212_27.9669731656971,5
Jared Goff,GoffJa00,LAR,QB,0,76,210,1.024344658660825,25.55921052631579,1.02434465866082_76_210_25.5592105263158,5
Tyler Kroft,KrofTy00,CIN,TE,0,77,240,1.024344658660825,28.456738067127677,1.02434465866082_77_240_28.4567380671277,5
Hunter Henry,HenrHu00,LAC,TE,0,77,250,1.024344658660825,29.64243548659133,1.02434465866082_77_250_29.6424354865913,5
Amari Cooper,CoopAm00,OAK,WR,-3,73,210,0.980673521032836,27.70313379620942,0.980673521032836_73_210_27.7031337962094,5
Derrick Henry,HenrDe00,TEN,RB,-3,75,247,0.980673521032836,30.869511111111112,0.980673521032836_75_247_30.8695111111111,5
Vernon Davis,DaviVe00,WAS,TE,-3,75,250,0.980673521032836,31.244444444444444,0.980673521032836_75_250_31.2444444444444,5
Jared Cook,CookJa02,OAK,TE,-3,76,235,0.980673521032836,28.601973684210527,0.980673521032836_76_235_28.6019736842105,5
Eric Ebron,EbroEr00,DET,TE,-3,76,250,0.980673521032836,30.42763157894737,0.980673521032836_76_250_30.4276315789474,5
Blake Bortles,BortBl00,JAX,QB,-3,77,232,0.980673521032836,27.508180131556756,0.980673521032836_77_232_27.5081801315568,5
Ben Watson,WatsBe00,BAL,TE,-4,75,255,0.9661164751568396,31.869333333333334,0.96611647515684_75_255_31.8693333333333,5
Bilal Powell,PoweBi00,NYJ,RB,-5,71,204,0.9515594292808432,28.449117238643126,0.951559429280843_71_204_28.4491172386431,5
Paul Richardson,RichPa01,SEA,WR,-5,72,175,0.9515594292808432,23.73167438271605,0.951559429280843_72_175_23.7316743827161,5
Ted Ginn,GinnTe00,NOR,WR,-6,71,178,0.9370023834048469,24.82324935528665,0.937002383404847_71_178_24.8232493552866,5
Robert Woods,WoodRo02,LAR,WR,-6,73,201,0.9370023834048469,26.51585663351473,0.937002383404847_73_201_26.5158566335147,5
Sammy Watkins,WatkSa00,LAR,WR,-6,73,211,0.9370023834048469,27.835053480953274,0.937002383404847_73_211_27.8350534809533,5
Mohamed Sanu,SanuMo00,ATL,WR,-6,74,215,0.9370023834048469,27.60135135135135,0.937002383404847_74_215_27.6013513513514,5
Javorius Allen,AlleJa01,BAL,RB,-7,73,220,0.9224453375288506,29.022330643647965,0.922445337528851_73_220_29.022330643648,5
