Name,playerid,Team,Pos,WAR,height,weight,z_score,BMI
Andrew Moore,17553,Mariners,P,0,72,185,-0.908617392132928,25.087770061728396
J.T. Riddle,17642,Marlins,SS,0,73,180,-0.908617392132928,23.74554325389379
Nick Martinez,12730,Rangers,P,0,73,200,-0.908617392132928,26.383936948770877
Jorge de la Rosa,2047,Diamondbacks,P,0,73,215,-0.908617392132928,28.36273221992869
Alex Gordon,5209,Royals,LF,0,73,220,-0.908617392132928,29.022330643647965
Wily Peralta,7738,Brewers,P,0,73,255,-0.908617392132928,33.639519609682864
Jose Torres,14957,Padres,P,0,74,175,-0.908617392132928,22.466216216216218
Yovani Gallardo,8173,Mariners,P,0,74,205,-0.908617392132928,26.31756756756757
Troy Tulowitzki,3531,Blue Jays,SS,0,75,205,-0.908617392132928,25.620444444444445
Luke Gregerson,4090,Astros,P,0,75,205,-0.908617392132928,25.620444444444445
Craig Stammen,7274,Padres,P,0,76,230,-0.908617392132928,27.99342105263158
Tony Wolters,11470,Rockies,C,-0.1,70,200,-0.9707692230755613,28.693877551020407
Jhan Marinez,5830,- - -,P,-0.1,73,200,-0.9707692230755613,26.383936948770877
Daniel Gossett,16164,Athletics,P,-0.1,74,185,-0.9707692230755613,23.75
Brad Miller,12775,Rays,2B,-0.1,74,215,-0.9707692230755613,27.60135135135135
Adam Conley,14457,Marlins,P,-0.1,75,200,-0.9707692230755613,24.995555555555555
Dan Jennings,8073,- - -,P,-0.1,75,210,-0.9707692230755613,26.245333333333335
Matt Holliday,1873,Yankees,DH,-0.1,76,240,-0.9707692230755613,29.210526315789473
Adam Ottavino,1247,Rockies,P,-0.1,77,220,-0.9707692230755613,26.085343228200372
A.J. Griffin,11132,Rangers,P,-0.1,77,230,-0.9707692230755613,27.271040647664023
Miguel Castro,15684,Orioles,P,-0.1,79,205,-0.9707692230755613,23.091651978849544
Erick Aybar,4082,Padres,SS,-0.2,70,195,-1.0329210540181946,27.976530612244897
Ichiro Suzuki,1101,Marlins,RF/CF/LF,-0.2,71,175,-1.0329210540181946,24.404879984130133
Jose Peraza,13593,Reds,2B/SS,-0.2,72,196,-1.0329210540181946,26.579475308641975
Ian Kennedy,6986,Royals,P,-0.2,72,200,-1.0329210540181946,27.121913580246915
Jeff Mathis,3448,Diamondbacks,C,-0.2,72,205,-1.0329210540181946,27.799961419753085
Hector Santiago,4026,Twins,P,-0.2,72,215,-1.0329210540181946,29.156057098765434
Carlos Torres,7624,Brewers,P,-0.2,73,180,-1.0329210540181946,23.74554325389379
Drew Storen,6983,Reds,P,-0.2,73,195,-1.0329210540181946,25.724338525051603
Christian Bergman,10925,Mariners,P,-0.2,73,195,-1.0329210540181946,25.724338525051603
Carlos Gonzalez,7287,Rockies,RF,-0.2,73,220,-1.0329210540181946,29.022330643647965
Sam Gaviglio,12778,- - -,P,-0.2,74,195,-1.0329210540181946,25.033783783783782
Chris Young,3882,Red Sox,LF/DH,-0.2,74,200,-1.0329210540181946,25.675675675675677
Tyler Moore,7244,Marlins,1B,-0.2,74,220,-1.0329210540181946,28.243243243243242
Patrick Kivlehan,13910,Reds,RF,-0.2,74,223,-1.0329210540181946,28.62837837837838
Josh Smoker,10285,Mets,P,-0.2,74,250,-1.0329210540181946,32.0945945945946
James Shields,7059,White Sox,P,-0.2,75,215,-1.0329210540181946,26.87022222222222
Miguel Cabrera,1744,Tigers,1B,-0.2,76,240,-1.0329210540181946,29.210526315789473
Matt Wieters,4298,Nationals,C,-0.2,77,230,-1.0329210540181946,27.271040647664023
Zach Eflin,13774,Phillies,P,-0.2,78,215,-1.0329210540181946,24.843030900723207
Ryan Goins,9807,Blue Jays,2B/SS,-0.3,70,180,-1.0950728849608278,25.824489795918367
Hansel Robles,11801,Mets,P,-0.3,71,185,-1.0950728849608278,25.799444554651856
Junichi Tazawa,4079,Marlins,P,-0.3,71,200,-1.0950728849608278,27.891291410434437
Warwick Saupold,13211,Tigers,P,-0.3,73,195,-1.0950728849608278,25.724338525051603
Austin Bibens-Dirkx,9559,Rangers,P,-0.3,73,210,-1.0950728849608278,27.70313379620942
Elias Diaz,11680,Pirates,C,-0.3,73,215,-1.0950728849608278,28.36273221992869
Casey Lawrence,11121,- - -,P,-0.3,74,170,-1.0950728849608278,21.824324324324323
Edwin Jackson,1841,- - -,P,-0.3,74,215,-1.0950728849608278,27.60135135135135
Chad Bell,10297,Tigers,P,-0.3,75,200,-1.0950728849608278,24.995555555555555
Dustin McGowan,8600,Marlins,P,-0.3,75,235,-1.0950728849608278,29.369777777777777
Jordan Lyles,7593,- - -,P,-0.3,76,230,-1.0950728849608278,27.99342105263158
Jayson Werth,1327,Nationals,LF,-0.3,77,235,-1.0950728849608278,27.863889357395852
Miguel Montero,3364,- - -,C,-0.4,71,210,-1.157224715903461,29.28585598095616
Jeremy Jeffress,9490,- - -,P,-0.4,72,205,-1.157224715903461,27.799961419753085
Jace Peterson,12325,Braves,LF,-0.4,72,215,-1.157224715903461,29.156057098765434
Andrew Romine,1159,Tigers,PH/PR,-0.4,73,200,-1.157224715903461,26.383936948770877
Jose Ramirez,10171,Braves,P,-0.4,73,215,-1.157224715903461,28.36273221992869
Danny Valencia,6364,Mariners,1B,-0.4,74,210,-1.157224715903461,26.95945945945946
Hanley Ramirez,8001,Red Sox,DH,-0.4,74,235,-1.157224715903461,30.16891891891892
Justin Grimm,11720,Cubs,P,-0.4,75,210,-1.157224715903461,26.245333333333335
Tim Adleman,10968,Reds,P,-0.4,77,225,-1.157224715903461,26.678191937932198
Jose Bautista,1887,Blue Jays,RF,-0.5,72,205,-1.2193765468460942,27.799961419753085
Stephen Vogt,5000,- - -,C,-0.5,72,225,-1.2193765468460942,30.51215277777778
Brandon Moss,4467,Royals,DH,-0.5,73,210,-1.2193765468460942,27.70313379620942
Jonathan Villar,10071,Brewers,2B,-0.5,73,215,-1.2193765468460942,28.36273221992869
Maikel Franco,12179,Phillies,3B,-0.5,73,215,-1.2193765468460942,28.36273221992869
Mike Napoli,3057,Rangers,1B,-0.5,73,225,-1.2193765468460942,29.681929067367236
Adam Rosales,9682,- - -,SS,-0.5,74,200,-1.2193765468460942,25.675675675675677
Jose Osuna,12937,Pirates,1B/RF,-0.5,75,240,-1.2193765468460942,29.994666666666667
Matt Kemp,5631,Braves,LF,-0.5,76,210,-1.2193765468460942,25.55921052631579
Darwin Barney,2430,Blue Jays,2B/3B,-0.6,70,180,-1.2815283777887276,25.824489795918367
Travis Wood,9884,- - -,P,-0.6,71,175,-1.2815283777887276,24.404879984130133
Chris Herrmann,9284,Diamondbacks,C/LF,-0.6,72,200,-1.2815283777887276,27.121913580246915
Junior Guerra,5702,Brewers,P,-0.6,72,205,-1.2815283777887276,27.799961419753085
Taylor Motter,12399,Mariners,SS,-0.6,73,195,-1.2815283777887276,25.724338525051603
J.J. Hardy,3797,Orioles,SS,-0.6,73,200,-1.2815283777887276,26.383936948770877
Austin Romine,5491,Yankees,C,-0.6,73,220,-1.2815283777887276,29.022330643647965
Kendrys Morales,8610,Blue Jays,DH,-0.6,73,225,-1.2815283777887276,29.681929067367236
Tom Koehler,6570,- - -,P,-0.6,75,235,-1.2815283777887276,29.369777777777777
Tyler Glasnow,14374,Pirates,P,-0.6,80,220,-1.2815283777887276,24.165625
Adam Engel,15082,White Sox,CF,-0.7,74,210,-1.3436802087313608,26.95945945945946
David Holmberg,7725,White Sox,P,-0.7,75,245,-1.3436802087313608,30.619555555555557
Michael Saunders,9981,- - -,RF,-0.7,76,225,-1.3436802087313608,27.38486842105263
Chris Carter,9911,Yankees,1B,-0.7,76,245,-1.3436802087313608,29.81907894736842
Alen Hanson,12926,- - -,2B/RF,-0.8,71,170,-1.4058320396739938,23.70759769886927
Pablo Sandoval,5409,- - -,3B,-0.8,71,255,-1.4058320396739938,35.56139654830391
Chris Smith,4544,Athletics,P,-0.8,72,190,-1.4058320396739938,25.765817901234566
Ian Desmond,6885,Rockies,1B/LF,-0.8,75,215,-1.4058320396739938,26.87022222222222
Bronson Arroyo,978,Reds,P,-0.8,76,190,-1.4058320396739938,23.125
Matt Harvey,11713,Mets,P,-0.8,76,215,-1.4058320396739938,26.167763157894736
Sam Dyson,11710,- - -,P,-0.9,73,205,-1.4679838706166273,27.043535372490147
Derek Holland,4141,White Sox,P,-0.9,74,215,-1.4679838706166273,27.60135135135135
Matt Davidson,7226,White Sox,3B/DH,-0.9,75,230,-1.4679838706166273,28.744888888888887
Rougned Odor,12282,Rangers,2B,-1,71,195,-1.5301357015592605,27.194009125173576
Danny Espinosa,9219,- - -,2B,-1,72,205,-1.5301357015592605,27.799961419753085
Chris Tillman,5279,Orioles,P,-1,77,200,-1.5301357015592605,23.713948389273064
Mike Pelfrey,5203,White Sox,P,-1,79,240,-1.5301357015592605,27.034129145970198
Allen Cordoba,15722,Padres,SS/LF,-1.1,73,175,-1.5922875325018937,23.085944830174515
Carlos Beltran,589,Astros,DH,-1.1,73,215,-1.5922875325018937,28.36273221992869
Tommy Joseph,10349,Phillies,1B,-1.1,73,255,-1.5922875325018937,33.639519609682864
