Name,playerid,Team,Pos,VBD,height,weight,z_score,BMI
Todd Gurley*+,GurlTo01,LAR,RB,192,73,226,3.819297466852124,29.81384875211109
Le'Veon Bell*+,BellLe00,PIT,RB,132,74,230,2.945874714292343,29.527027027027028
Kareem Hunt*,HuntKa00,KAN,RB,115,70,216,2.698404934400405,30.98938775510204
Alvin Kamara*,KamaAl00,NOR,RB,106,70,214,2.567391521516438,30.702448979591836
Melvin Gordon,GordMe00,LAC,RB,103,73,207,2.523720383888449,27.307374741977856
DeAndre Hopkins*+,HopkDe00,HOU,WR,103,73,214,2.523720383888449,28.23081253518484
Russell Wilson*,WilsRu00,SEA,QB,99,71,203,2.4654922003844635,28.309660781590953
Antonio Brown*+,BrowAn04,PIT,WR,98,70,180,2.450935154508467,25.824489795918367
Mark Ingram*,IngrMa01,NOR,RB,93,70,215,2.3781499251284854,30.84591836734694
LeSean McCoy*,McCoLe01,BUF,RB,78,70,215,2.15979423698854,30.84591836734694
Rob Gronkowski*+,GronRo00,NWE,TE,76,78,265,2.1306801452365476,30.620479947403023
Travis Kelce*,KelcTr00,KAN,TE,69,77,255,2.028780824104573,30.235284196323157
Leonard Fournette,FourLe00,JAX,RB,67,72,240,1.9996667323525803,32.5462962962963
Keenan Allen*,AlleKe00,LAC,WR,63,74,206,1.9414385488485948,26.445945945945947
Marvin Jones,JoneMa02,DET,WR,53,74,198,1.7958680900886315,25.41891891891892
Tyreek Hill*,HillTy00,KAN,WR,51,70,185,1.766753998336639,26.541836734693877
Julio Jones*,JoneJu02,ATL,WR,51,76,220,1.766753998336639,26.776315789473685
Ezekiel Elliott,ElliEz00,DAL,RB,50,72,225,1.7521969524606424,30.51215277777778
Jordan Howard,HowaJo00,CHI,RB,50,73,225,1.7521969524606424,29.681929067367236
Carlos Hyde,HydeCa00,SFO,RB,48,72,230,1.72308286070865,31.19020061728395
Zach Ertz*,ErtzZa00,PHI,TE,48,77,249,1.72308286070865,29.523865744644965
Cam Newton,NewtCa00,CAR,QB,48,78,260,1.72308286070865,30.042735042735043
Alex Smith,SmitAl03,KAN,QB,44,76,212,1.6648546772046644,25.80263157894737
Brandin Cooks,CookBr00,NWE,WR,43,70,189,1.6502976313286681,27.115714285714287
Michael Thomas*,ThomMi05,NOR,WR,42,75,212,1.6357405854526716,26.49528888888889
Tom Brady*+,BradTo00,NWE,QB,41,76,225,1.6211835395766754,27.38486842105263
Larry Fitzgerald*,FitzLa00,ARI,WR,39,75,225,1.5920694478246826,28.12
A.J. Green*,GreeA.00,CIN,WR,39,76,205,1.5920694478246826,24.950657894736842
Dion Lewis,LewiDi00,NWE,RB,38,68,195,1.5775124019486864,29.646410034602077
Davante Adams,AdamDa01,GNB,WR,38,73,212,1.5775124019486864,27.96697316569713
Devonta Freeman,FreeDe00,ATL,RB,37,68,206,1.5629553560726899,31.31877162629758
Adam Thielen*,ThieAd00,MIN,WR,36,75,200,1.5483983101966936,24.995555555555555
Doug Baldwin,BaldDo00,SEA,WR,35,70,189,1.5338412643206973,27.115714285714287
Jarvis Landry,LandJa00,MIA,WR,35,72,205,1.5338412643206973,27.799961419753085
Jimmy Graham*,GrahJi00,SEA,TE,34,79,260,1.5192842184447009,29.286973241467713
Lamar Miller,MillLa01,HOU,RB,31,71,215,1.4756130808167118,29.983138266217022
Carson Wentz*,WentCa00,PHI,QB,29,77,237,1.446498989064719,28.10102884128858
Evan Engram,EngrEv00,NYG,TE,28,75,234,1.4319419431887228,29.2448
Robby Anderson,AndeRo04,NYJ,WR,26,75,190,1.40282785143673,23.74577777777778
Alshon Jeffery,JeffAl00,PHI,WR,26,76,230,1.40282785143673,27.99342105263158
Matthew Stafford,StafMa00,DET,QB,23,74,230,1.359156713808741,29.527027027027028
Kirk Cousins,CousKi00,WAS,QB,23,75,214,1.359156713808741,26.745244444444445
Christian McCaffrey,McCaCh01,CAR,RB,22,71,202,1.3445996679327448,28.170204324538783
Alex Collins,CollAl00,BAL,RB,21,71,218,1.3300426220567483,30.401507637373538
Stefon Diggs,DiggSt00,MIN,WR,21,72,195,1.3300426220567483,26.44386574074074
JuJu Smith-Schuster,SmitJu00,PIT,WR,21,73,215,1.3300426220567483,28.36273221992869
Devin Funchess,FuncDe00,CAR,WR,21,77,230,1.3300426220567483,27.271040647664023
Mike Evans,EvanMi00,TAM,WR,21,77,231,1.3300426220567483,27.38961038961039
C.J. Anderson,AndeC.00,DEN,RB,20,68,224,1.315485576180752,34.055363321799305
Golden Tate,TateGo00,DET,WR,20,71,195,1.315485576180752,27.194009125173576
Delanie Walker,WalkHu00,TEN,TE,19,73,241,1.3009285303047557,31.792644023268906
Kyle Rudolph,RudoKy00,MIN,TE,19,77,265,1.3009285303047557,31.42098161578681
Frank Gore,GoreFr00,IND,RB,18,69,215,1.2863714844287593,31.746481831547992
Marshawn Lynch,LyncMa00,OAK,RB,17,71,215,1.271814438552763,29.983138266217022
Philip Rivers*,RivePh00,LAC,QB,17,77,228,1.271814438552763,27.033901163771294
Latavius Murray,MurrLa00,MIN,RB,16,75,225,1.2572573926767665,28.12
Duke Johnson,JohnDu00,CLE,RB,15,69,206,1.2427003468007702,30.417559336273893
Tevin Coleman,ColeTe01,ATL,RB,14,72,210,1.228143300924774,28.47800925925926
Demaryius Thomas,ThomDe03,DEN,WR,14,75,229,1.228143300924774,28.61991111111111
Nelson Agholor,AghoNe00,PHI,WR,13,73,190,1.2135862550487775,25.064740101332333
Cameron Brate,BratCa00,TAM,TE,13,77,235,1.2135862550487775,27.863889357395852
Dak Prescott,PresDa01,DAL,QB,12,74,226,1.1990292091727812,29.013513513513512
Jack Doyle,DoylJa00,IND,TE,9,77,254,1.1553580715447922,30.11671445437679
Drew Brees*,BreeDr00,NOR,QB,8,72,209,1.1408010256687957,28.342399691358025
Ben Roethlisberger*,RoetBe00,PIT,QB,8,77,240,1.1408010256687957,28.456738067127677
T.Y. Hilton,HiltT.00,IND,WR,6,70,183,1.1116869339168032,26.254897959183673
DeMarco Murray,MurrDe00,TEN,RB,6,72,214,1.1116869339168032,29.020447530864196
Kenny Stills,StilKe00,MIA,WR,4,73,194,1.0825728421648104,25.59241884030775
Dez Bryant,BryaDe01,DAL,WR,4,74,225,1.0825728421648104,28.885135135135137
Cooper Kupp,KuppCo00,LAR,WR,2,74,204,1.0534587504128177,26.18918918918919
Jason Witten,WittJa00,DAL,TE,2,77,257,1.0534587504128177,30.472423680215886
Michael Crabtree,CrabMi00,OAK,WR,1,74,215,1.0389017045368214,27.60135135135135
Marquise Goodwin,GoodMa00,SFO,WR,0,69,183,1.024344658660825,27.02142407057341
Jerick McKinnon,McKiJe00,MIN,RB,0,69,205,1.024344658660825,30.269901281243435
Jermaine Kearse,KearJe01,NYJ,WR,0,73,212,1.024344658660825,27.96697316569713
Jared Goff,GoffJa00,LAR,QB,0,76,210,1.024344658660825,25.55921052631579
Tyler Kroft,KrofTy00,CIN,TE,0,77,240,1.024344658660825,28.456738067127677
Hunter Henry,HenrHu00,LAC,TE,0,77,250,1.024344658660825,29.64243548659133
Amari Cooper,CoopAm00,OAK,WR,-3,73,210,0.980673521032836,27.70313379620942
Derrick Henry,HenrDe00,TEN,RB,-3,75,247,0.980673521032836,30.869511111111112
Vernon Davis,DaviVe00,WAS,TE,-3,75,250,0.980673521032836,31.244444444444444
Jared Cook,CookJa02,OAK,TE,-3,76,235,0.980673521032836,28.601973684210527
Eric Ebron,EbroEr00,DET,TE,-3,76,250,0.980673521032836,30.42763157894737
Blake Bortles,BortBl00,JAX,QB,-3,77,232,0.980673521032836,27.508180131556756
Ben Watson,WatsBe00,BAL,TE,-4,75,255,0.9661164751568396,31.869333333333334
