Name,playerid,Team,Pos,ExpectedPM,height,weight,z_score,BMI,combined_data,label
Alexander Radulov,radulal01,DAL,RW,13.6,73,201,3.2692844144471156,26.51585663351473,3.26928441444712_73_201_26.5158566335147,10
John Klingberg,klingjo01,DAL,D,12.6,74,177,3.024433028719696,22.722972972972972,3.0244330287197_74_177_22.722972972973,9
Jamie Benn,bennja01,DAL,LW,12,74,209,2.8775221972832448,26.83108108108108,2.87752219728324_74_209_26.8310810810811,9
Dougie Hamilton,hamildo01,CGY,D,11.8,78,210,2.8285519201377607,24.265285996055226,2.82855192013776_78_210_24.2652859960552,9
Sidney Crosby,crosbsi01,PIT,C,11.3,71,200,2.7061262272740514,27.891291410434437,2.70612622727405_71_200_27.8912914104344,9
Patric Hornqvist,hornqpa01,PIT,RW,10.8,71,189,2.5837005344103416,26.357270382860545,2.58370053441034_71_189_26.3572703828605,8
Zdeno Chara,charazd01,BOS,D,10.4,81,250,2.485759980119374,26.787075140984605,2.48575998011937_81_250_26.7870751409846,8
Connor McDavid,mcdavco01,EDM,C,9.4,73,192,2.2409085943919544,25.328579470820042,2.24090859439195_73_192_25.32857947082,8
Patrice Bergeron,bergepa01,BOS,C,9.4,73,195,2.2409085943919544,25.724338525051603,2.24090859439195_73_195_25.7243385250516,8
Sean Monahan,monahse01,CGY,C,9.3,75,195,2.2164234558192124,24.370666666666665,2.21642345581921_75_195_24.3706666666667,8
Noah Hanifin,hanifno01,CAR,D,9.2,75,206,2.1919383172464704,25.74542222222222,2.19193831724647_75_206_25.7454222222222,8
Danton Heinen,heineda01,BOS,C,9.1,73,185,2.1674531786737283,24.40514167761306,2.16745317867373_73_185_24.4051416776131,8
Charlie McAvoy,mcavoch01,BOS,D,8.7,72,208,2.0695126243827606,28.20679012345679,2.06951262438276_72_208_28.2067901234568,8
Esa Lindell,lindees01,DAL,D,8.7,75,213,2.0695126243827606,26.620266666666666,2.06951262438276_75_213_26.6202666666667,8
Adam Lowry,lowryad01,WPG,C,8.7,77,210,2.0695126243827606,24.899645808736718,2.06951262438276_77_210_24.8996458087367,8
William Karlsson,karlswi01,VEG,C,8.5,73,189,2.020542347237277,24.932820416588477,2.02054234723728_73_189_24.9328204165885,8
Mikael Granlund,granlmi01,MIN,RW,8.3,70,185,1.9715720700917934,26.541836734693877,1.97157207009179_70_185_26.5418367346939,7
Mitch Marner,marnemi01,TOR,C,8.2,72,175,1.9470869315190513,23.73167438271605,1.94708693151905_72_175_23.7316743827161,7
Mark Giordano,giordma01,CGY,D,8.2,72,198,1.9470869315190513,26.850694444444443,1.94708693151905_72_198_26.8506944444444,7
Brandon Carlo,carlobr01,BOS,D,8.2,77,208,1.9470869315190513,24.66250632484399,1.94708693151905_77_208_24.662506324844,7
Jonathan Huberdeau,huberjo01,FLA,LW,8.1,73,188,1.9226017929463093,24.800900731844624,1.92260179294631_73_188_24.8009007318446,7
Trevor van Riemsdyk,vanritr01,CAR,D,8,74,188,1.8981166543735675,24.135135135135137,1.89811665437357_74_188_24.1351351351351,7
Evgeni Dadonov,dadonev01,FLA,RW,7.8,71,185,1.8491463772280836,25.799444554651856,1.84914637722808_71_185_25.7994445546519,7
Jon Marchessault,audymjo01,VEG,C,7.7,69,174,1.8246612386553418,25.692501575299307,1.82466123865534_69_174_25.6925015752993,7
Mathieu Perreault,perrema01,WPG,C,7.7,70,188,1.8246612386553418,26.972244897959182,1.82466123865534_70_188_26.9722448979592,7
Jason Zucker,zuckeja01,MIN,LW,7.6,71,187,1.8001761000825998,26.0783574687562,1.8001761000826_71_187_26.0783574687562,7
Andrew Copp,coppan01,WPG,C,7.4,73,206,1.7512058229371161,27.175455057234004,1.75120582293712_73_206_27.175455057234,7
Zach Werenski,werenza01,CBJ,D,7.4,74,209,1.7512058229371161,26.83108108108108,1.75120582293712_74_209_26.8310810810811,7
Brandon Tanev,tanevbr01,WPG,LW,7.3,72,180,1.7267206843643739,24.40972222222222,1.72672068436437_72_180_24.4097222222222,7
Brad Marchand,marchbr03,BOS,LW,7.2,69,181,1.702235545791632,26.726107960512497,1.70223554579163_69_181_26.7261079605125,7
Pierre-Luc Dubois,duboipi01,CBJ,LW,7.1,75,207,1.67775040721889,25.8704,1.67775040721889_75_207_25.8704,7
Mikko Koivu,koivumi01,MIN,C,7.1,75,215,1.67775040721889,26.87022222222222,1.67775040721889_75_215_26.8702222222222,7
Auston Matthews,matthau01,TOR,C,7.1,75,216,1.67775040721889,26.9952,1.67775040721889_75_216_26.9952,7
Reilly Smith,smithre01,VEG,RW,7,72,185,1.6532652686461482,25.087770061728396,1.65326526864615_72_185_25.0877700617284,7
Jake Gardiner,gardija01,TOR,D,7,74,200,1.6532652686461482,25.675675675675677,1.65326526864615_74_200_25.6756756756757,7
Jordan Eberle,eberljo01,NYI,RW,6.9,71,187,1.6287801300734064,26.0783574687562,1.62878013007341_71_187_26.0783574687562,7
Colin Miller,milleco02,VEG,D,6.7,73,196,1.5798098529279225,25.85625820979546,1.57980985292792_73_196_25.8562582097955,7
Patrick Maroon,maroopa01,EDM,LW,6.7,75,225,1.5798098529279225,28.12,1.57980985292792_75_225_28.12,7
Johnny Gaudreau,gaudrjo01,CGY,LW,6.6,69,157,1.5553247143551805,23.18231463978156,1.55532471435518_69_157_23.1823146397816,7
