Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Alex Abrines\abrinal01,SG,24,OKC,41,625,8.5,.556,.695,.182,3.0,9.7,6.2,3.4,1.8,0.3,10.3,12.9,,0.5,0.6,1.2,.090,,-1.3,-1.5,-2.8,-0.1
2,Quincy Acy\acyqu01,PF,27,BRK,40,773,7.0,.515,.782,.227,3.4,19.1,11.1,4.3,0.9,1.1,15.9,15.2,,-0.4,0.7,0.4,.024,,-3.1,-0.5,-3.6,-0.3
3,Steven Adams\adamsst01,C,24,OKC,40,1279,21.5,.643,.003,.346,17.3,13.5,15.5,4.9,1.9,3.1,13.3,16.6,,3.7,1.8,5.5,.207,,2.5,1.2,3.7,1.8
4,Bam Adebayo\adebaba01,C,20,MIA,35,701,16.4,.605,.025,.500,9.9,18.8,14.4,10.7,1.5,2.5,14.7,15.1,,1.4,0.9,2.3,.160,,-0.6,2.0,1.4,0.6
5,Arron Afflalo\afflaar01,SG,32,ORL,35,453,4.8,.487,.400,.200,0.7,9.7,5.2,5.1,0.2,0.9,9.2,11.5,,-0.1,0.0,-0.1,-0.006,,-4.2,-1.9,-6.1,-0.5
6,Cole Aldrich\aldrico01,C,29,MIN,10,22,11.0,.444,.000,.286,10.5,10.7,10.6,6.5,4.6,0.0,11.3,17.9,,0.0,0.0,0.0,.051,,-2.9,0.2,-2.7,0.0
7,LaMarcus Aldridge\aldrila01,C,32,SAS,44,1486,24.2,.563,.086,.301,10.9,17.1,14.0,10.6,0.8,2.8,7.0,29.0,,4.2,2.2,6.4,.207,,2.5,0.0,2.5,1.7
8,Jarrett Allen\allenja01,C,19,BRK,36,617,14.8,.572,.035,.312,9.8,17.1,13.4,4.3,1.2,3.8,12.7,15.3,,0.8,0.8,1.5,.120,,-2.6,1.5,-1.1,0.1
9,Kadeem Allen\allenka01,PG,25,BOS,3,8,4.2,.399,1.000,2.000,13.9,13.4,13.6,0.0,0.0,0.0,21.0,26.7,,0.0,0.0,0.0,-0.095,,-7.2,-8.1,-15.3,0.0
10,Tony Allen\allento01,SF,36,NOP,22,273,8.8,.514,.132,.231,8.6,10.7,9.7,4.8,1.9,0.9,15.9,19.2,,-0.1,0.2,0.1,.011,,-3.9,-1.7,-5.6,-0.2
11,Al-Farouq Aminu\aminual01,PF,27,POR,32,967,12.2,.540,.574,.112,4.7,20.5,12.7,5.3,1.4,2.0,10.5,14.8,,0.7,1.4,2.0,.101,,-0.6,1.3,0.7,0.7
12,Justin Anderson\anderju01,SF,24,PHI,13,155,8.4,.477,.583,.150,7.2,16.1,11.8,3.7,0.9,0.5,8.6,19.0,,0.0,0.2,0.2,.046,,-2.9,-3.1,-6.0,-0.2
13,Kyle Anderson\anderky01,SF,24,SAS,38,1034,15.3,.581,.097,.388,4.5,19.2,11.9,14.3,2.5,2.0,16.6,13.9,,1.2,2.0,3.2,.150,,-0.7,3.9,3.2,1.4
14,Ryan Anderson\anderry01,PF,29,HOU,42,1203,12.5,.581,.706,.173,6.4,15.6,11.0,5.2,0.8,1.1,8.3,14.6,,2.0,0.9,2.9,.117,,1.1,-0.9,0.1,0.6
15,Ike Anigbogu\anigbik01,C,19,IND,10,28,23.3,.558,.000,.667,20.7,15.9,18.3,0.0,1.8,9.3,14.7,21.8,,0.1,0.0,0.1,.174,,-3.7,-1.6,-5.3,0.0
16,Giannis Antetokounmpo\antetgi01,PF,23,MIL,42,1572,29.5,.614,.086,.499,7.4,25.1,16.2,22.8,2.1,3.0,10.7,31.4,,6.1,1.9,7.9,.242,,5.3,1.5,6.9,3.5
17,Carmelo Anthony\anthoca01,PF,33,OKC,44,1437,14.4,.519,.385,.193,2.4,18.3,10.1,7.4,1.0,1.7,7.3,24.4,,1.3,1.7,3.0,.102,,-1.2,-1.8,-3.0,-0.4
18,OG Anunoby\anunoog01,SF,20,TOR,43,927,9.8,.589,.602,.185,3.0,9.2,6.1,5.2,1.9,0.4,10.9,12.0,,0.9,0.9,1.9,.098,,0.7,0.3,0.9,0.7
19,Ryan Arcidiacono\arcidry01,PG,23,CHI,1,5,-13.0,.000,1.000,.000,0.0,0.0,0.0,24.9,0.0,0.0,0.0,17.6,,0.0,0.0,0.0,-0.360,,-12.6,-9.9,-22.5,0.0
20,Trevor Ariza\arizatr01,SF,32,HOU,40,1449,12.1,.591,.734,.140,1.8,13.5,7.6,6.8,2.1,0.5,8.3,13.6,,2.0,1.5,3.4,.114,,1.4,0.5,1.9,1.4
21,Darrell Arthur\arthuda01,PF,29,DEN,6,49,-10.0,.219,.563,.000,2.3,11.5,6.9,2.7,2.0,0.0,30.4,20.4,,-0.4,0.0,-0.3,-0.311,,-13.7,-2.3,-15.9,-0.2
22,Jamel Artis\artisja01,SG,25,ORL,5,55,0.8,.246,.294,.176,2.0,12.0,7.0,9.7,0.0,0.0,0.0,14.5,,-0.1,0.0,-0.2,-0.131,,-8.0,-3.0,-11.0,-0.1
23,Omer Asik\asikom01,C,31,NOP,11,85,3.9,.393,.000,.615,6.9,29.2,18.5,3.0,0.0,1.0,19.5,10.6,,-0.1,0.1,0.0,-0.021,,-8.1,-1.5,-9.7,-0.2
24,D.J. Augustin\augusdj01,PG,30,ORL,38,768,13.9,.594,.514,.414,1.4,7.6,4.5,22.3,1.8,0.0,16.9,17.7,,1.2,0.3,1.4,.090,,0.7,-2.5,-1.8,0.0
25,Luke Babbitt\babbilu01,SF,28,ATL,30,517,11.4,.622,.642,.149,0.9,15.1,7.9,6.7,0.7,0.7,8.7,14.7,,0.7,0.2,0.9,.084,,-0.1,-2.3,-2.3,0.0
