Name,playerid,Team,Pos,PER,height,weight,z_score,BMI,combined_data,label
James Harden,hardeja01,HOU,SG,30.1,77,220,3.2587402969885817,26.085343228200372,3.25874029698858_77_220_26.0853432282004,10
Giannis Antetokounmpo,antetgi01,MIL,PF,29.5,83,222,3.1350360531821195,22.654376542313834,3.13503605318212_83_222_22.6543765423138,9
Stephen Curry,curryst01,GSW,PG,29.3,75,190,3.0938013052466324,23.74577777777778,3.09380130524663_75_190_23.7457777777778,9
LeBron James,jamesle01,CLE,PF,29.2,80,250,3.0731839312788884,27.4609375,3.07318393127889_80_250_27.4609375,9
Anthony Davis,davisan02,NOP,PF,28.8,82,253,2.9907144354079143,26.451368233194525,2.99071443540791_82_253_26.4513682331945,9
Clint Capela,capelca01,HOU,C,25.9,82,240,2.3928105903433483,25.09220701963117,2.39281059034335_82_240_25.0922070196312,8
Hassan Whiteside,whiteha01,MIA,C,25.7,84,265,2.351575842407861,26.40235260770975,2.35157584240786_84_265_26.4023526077098,8
Kevin Durant,duranke01,GSW,PF,25.4,81,240,2.28972372050463,25.715592135345222,2.28972372050463_81_240_25.7155921353452,8
Chris Paul,paulch01,HOU,PG,25.3,72,175,2.269106346536887,23.73167438271605,2.26910634653689_72_175_23.7316743827161,8
Russell Westbrook,westbru01,OKC,PG,24.8,75,200,2.166019476698169,24.995555555555555,2.16601947669817_75_200_24.9955555555556,7
LaMarcus Aldridge,aldrila01,SAS,C,24.2,83,260,2.0423152328917067,26.5321527072144,2.04231523289171_83_260_26.5321527072144,7
Victor Oladipo,oladivi01,IND,SG,24.1,76,210,2.0216978589239636,25.55921052631579,2.02169785892396_76_210_25.5592105263158,7
Enes Kanter,kanteen01,NYK,C,23.9,83,245,1.9804631109884756,25.001451589490493,1.98046311098848_83_245_25.0014515894905,7
Nikola Mirotic,mirotni01,CHI,PF,23.8,82,220,1.9598457370207325,23.001189767995243,1.95984573702073_82_220_23.0011897679952,7
Jimmy Butler,butleji01,MIN,SG,23.7,80,236,1.9392283630529885,25.923125,1.93922836305299_80_236_25.923125,7
Kyrie Irving,irvinky01,BOS,PG,23.6,75,193,1.9186109890852454,24.12071111111111,1.91861098908525_75_193_24.1207111111111,7
Karl-Anthony Towns,townska01,MIN,C,23.6,84,244,1.9186109890852454,24.310090702947846,1.91861098908525_84_244_24.3100907029478,7
DeMar DeRozan,derozde01,TOR,SG,23.5,79,221,1.8979936151175014,24.893927255247558,1.8979936151175_79_221_24.8939272552476,7
Kevin Love,loveke01,CLE,C,23.5,82,251,1.8979936151175014,26.242266508030934,1.8979936151175_82_251_26.2422665080309,7
Andre Drummond,drumman01,DET,C,23.5,83,279,1.8979936151175014,28.471040789664684,1.8979936151175_83_279_28.4710407896647,7
Joel Embiid,embiijo01,PHI,C,23.3,84,250,1.8567588671820143,24.907879818594104,1.85675886718201_84_250_24.9078798185941,7
David West,westda01,GSW,C,23.2,81,250,1.8361414932142703,26.787075140984605,1.83614149321427_81_250_26.7870751409846,7
Nikola Jokic,jokicni01,DEN,C,22.9,82,250,1.7742893713110393,26.137715645449138,1.77428937131104_82_250_26.1377156454491,7
Damian Lillard,lillada01,POR,PG,22.8,75,195,1.7536719973432962,24.370666666666665,1.7536719973433_75_195_24.3706666666667,7
DeMarcus Cousins,couside01,NOP,C,22.8,83,270,1.7536719973432962,27.552620119030337,1.7536719973433_83_270_27.5526201190303,7
Tyreke Evans,evansty01,MEM,PG,22.5,78,220,1.691819875440065,25.42077580539119,1.69181987544007_78_220_25.4207758053912,7
Lou Williams,willilo02,LAC,SG,22.4,73,175,1.671202501472321,23.085944830174515,1.67120250147232_73_175_23.0859448301745,7
Montrezl Harrell,harremo01,LAC,C,21.9,80,240,1.568115631633603,26.3625,1.5681156316336_80_240_26.3625,6
Steven Adams,adamsst01,OKC,C,21.5,84,255,1.4856461357626287,25.406037414965986,1.48564613576263_84_255_25.406037414966,6
Nikola Vucevic,vucevni01,ORL,C,21.3,84,260,1.4444113878271414,25.90419501133787,1.44441138782714_84_260_25.9041950113379,6
John Collins,collijo01,ATL,PF,21.1,82,235,1.4031766398916543,24.56945270672219,1.40317663989165_82_235_24.5694527067222,6
Bobby Portis,portibo01,CHI,PF,21,83,230,1.3825592659239105,23.470750471766586,1.38255926592391_83_230_23.4707504717666,6
Kristaps Porzingis,porzikr01,NYK,PF,20.6,87,240,1.3000897700529361,22.29092350376536,1.30008977005294_87_240_22.2909235037654,6
Jonas Valanciunas,valanjo01,TOR,C,20.5,84,265,1.2794723960851921,26.40235260770975,1.27947239608519_84_265_26.4023526077098,6
Kemba Walker,walkeke02,CHO,PG,20.4,73,172,1.2588550221174484,22.690185775942954,1.25885502211745_73_172_22.690185775943,6
Brandan Wright,wrighbr03,MEM,PF,20.4,82,210,1.2588550221174484,21.955681142177276,1.25885502211745_82_210_21.9556811421773,6
Blake Griffin,griffbl01,LAC,PF,20.4,82,251,1.2588550221174484,26.242266508030934,1.25885502211745_82_251_26.2422665080309,6
JaVale McGee,mcgeeja01,GSW,C,20.4,84,270,1.2588550221174484,26.900510204081634,1.25885502211745_84_270_26.9005102040816,6
John Wall,walljo01,WAS,PG,20.1,76,195,1.197002900214218,23.73355263157895,1.19700290021422_76_195_23.7335526315789,6
DeAndre Jordan,jordade01,LAC,C,20,83,265,1.176385526246474,27.04238641312237,1.17638552624647_83_265_27.0423864131224,6
Willie Reed,reedwi02,LAC,C,19.9,82,220,1.1557681522787302,23.001189767995243,1.15576815227873_82_220_23.0011897679952,6
Kyle O'Quinn,oquinky01,NYK,C,19.9,82,250,1.1557681522787302,26.137715645449138,1.15576815227873_82_250_26.1377156454491,6
Michael Beasley,beaslmi01,NYK,PF,19.7,81,235,1.114533404343243,25.17985063252553,1.11453340434324_81_235_25.1798506325255,6
Bradley Beal,bealbr01,WAS,SG,19.6,77,207,1.0939160303754998,24.543936582897622,1.0939160303755_77_207_24.5439365828976,6
Jordan Bell,belljo01,GSW,C,19.5,81,224,1.0732986564077558,24.001219326322207,1.07329865640776_81_224_24.0012193263222,5
Greg Monroe,monrogr01,TOT,C,19.5,83,265,1.0732986564077558,27.04238641312237,1.07329865640776_83_265_27.0423864131224,5
Alex Len,lenal01,PHO,C,19.5,85,260,1.0732986564077558,25.298269896193773,1.07329865640776_85_260_25.2982698961938,5
Devin Booker,bookede01,PHO,SG,19.4,78,206,1.052681282440012,23.803090072320842,1.05268128244001_78_206_23.8030900723208,5
Larry Nance,nancela02,LAL,PF,19.3,81,230,1.0320639084722687,24.64410912970584,1.03206390847227_81_230_24.6441091297058,5
Zach Randolph,randoza01,SAC,PF,19,81,260,0.9702117865690377,27.85855814662399,0.970211786569038_81_260_27.858558146624,5
Pau Gasol,gasolpa01,SAS,C,19,84,250,0.9702117865690377,24.907879818594104,0.970211786569038_84_250_24.9078798185941,5
Kyle Lowry,lowryky01,TOR,PG,18.9,72,205,0.9495944126012937,27.799961419753085,0.949594412601294_72_205_27.7999614197531,5
Dennis Schroder,schrode01,ATL,PG,18.9,73,172,0.9495944126012937,22.690185775942954,0.949594412601294_73_172_22.690185775943,5
Al Horford,horfoal01,BOS,C,18.9,82,245,0.9495944126012937,25.614961332540155,0.949594412601294_82_245_25.6149613325402,5
