Rk,Player,Age,Tm,Pos,GP,CF,CA,CF%,CF% rel,FF,FA,FF%,FF% rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TOI/60,TOI(EV),TK,GV,E+/-,SAtt.,Thru%
1,Justin Abdelkader\abdelju01,30,DET,LW,41,480,504,48.8,0.6,364,385,48.6,-0.8,8.6,91.4,100.0,53.4,46.6,16:51,13:05,9,18,-3.3,109,54.1
2,Pontus Aberg\abergpo01,24,NSH,LW,29,245,328,42.8,-8.3,190,250,43.2,-8.4,9.8,95.5,105.3,56.4,43.6,10:58,10:54,9,5,-3.4,56,53.6
3,Noel Acciari\acciano01,26,BOS,C,30,302,304,49.8,-4.0,238,201,54.2,0.9,5.7,92.4,98.1,38.2,61.8,12:53,11:29,9,3,3.1,57,57.9
4,Kenny Agostino\agostke01,25,BOS,LW,5,34,48,41.5,-8.5,28,33,45.9,-4.1,4.8,92.0,96.8,37.5,62.5,12:03,8:59,1,0,-0.1,17,64.7
5,Sebastian Aho\ahose01,20,CAR,RW,45,716,612,53.9,0.1,523,474,52.5,-1.1,9.2,88.6,97.8,54.3,45.7,17:46,14:50,33,34,0.0,243,53.1
6,Sebastian Aho\ahose02,21,NYI,D,7,106,123,46.3,1.3,77,107,41.8,-0.4,15.8,88.8,104.5,48.5,51.5,14:55,13:15,1,8,-1.9,17,47.1
7,Mark Alt\altma01,26,PHI,D,8,89,96,48.1,-4.7,69,75,47.9,-4.5,6.0,94.8,100.8,58.3,41.7,13:26,12:44,2,2,-0.6,12,41.7
8,Karl Alzner\alzneka01,29,MTL,D,46,764,749,50.5,-0.9,545,553,49.6,-1.7,7.0,90.4,97.4,46.1,53.9,20:24,17:23,8,62,-0.7,106,43.4
9,Michael Amadio\amadimi01,21,LAK,C,10,42,66,38.9,-12.0,35,49,41.7,-7.9,4.2,90.9,95.1,73.7,26.3,6:43,6:42,0,0,-1.2,8,75.0
10,Josh Anderson\anderjo05,23,CBJ,RW,45,807,646,55.5,6.8,614,464,57.0,7.0,7.4,92.0,99.4,60.7,39.3,18:34,16:04,32,14,3.8,243,59.3
11,Rasmus Andersson\anderra01,21,CGY,D,1,17,14,54.8,10.0,14,12,53.8,6.0,22.2,100.0,122.2,71.4,28.6,13:56,13:56,0,0,0.5,1,0.0
12,Andy Andreoff\andrean01,26,LAK,LW,29,225,258,46.6,-4.1,174,200,46.5,-3.3,5.1,91.9,97.0,53.9,46.1,9:20,9:17,0,4,-3.3,53,58.5
13,Sven Andrighetto\andrisv01,24,COL,RW,37,415,411,50.2,2.7,286,322,47.0,-0.9,8.8,88.6,97.4,51.7,48.3,14:35,11:37,16,11,-6.1,144,55.6
14,Artem Anisimov\anisiar01,29,CHI,C,36,473,467,50.3,-4.0,335,364,47.9,-4.8,6.6,94.5,101.1,54.1,45.9,17:08,12:32,11,14,-4.2,124,59.7
