Name,playerid,Team,Pos,ExpectedPM,height,weight,z_score
Alexander Radulov,radulal01,DAL,RW,13.6,73,201,3.2692844144471156
John Klingberg,klingjo01,DAL,D,12.6,74,177,3.024433028719696
Jamie Benn,bennja01,DAL,LW,12,74,209,2.8775221972832448
Dougie Hamilton,hamildo01,CGY,D,11.8,78,210,2.8285519201377607
Sidney Crosby,crosbsi01,PIT,C,11.3,71,200,2.7061262272740514
Patric Hornqvist,hornqpa01,PIT,RW,10.8,71,189,2.5837005344103416
Zdeno Chara,charazd01,BOS,D,10.4,81,250,2.485759980119374
Connor McDavid,mcdavco01,EDM,C,9.4,73,192,2.2409085943919544
Patrice Bergeron,bergepa01,BOS,C,9.4,73,195,2.2409085943919544
Sean Monahan,monahse01,CGY,C,9.3,75,195,2.2164234558192124
Noah Hanifin,hanifno01,CAR,D,9.2,75,206,2.1919383172464704
Danton Heinen,heineda01,BOS,C,9.1,73,185,2.1674531786737283
Charlie McAvoy,mcavoch01,BOS,D,8.7,72,208,2.0695126243827606
Esa Lindell,lindees01,DAL,D,8.7,75,213,2.0695126243827606
Adam Lowry,lowryad01,WPG,C,8.7,77,210,2.0695126243827606
William Karlsson,karlswi01,VEG,C,8.5,73,189,2.020542347237277
Mikael Granlund,granlmi01,MIN,RW,8.3,70,185,1.9715720700917934
Mitch Marner,marnemi01,TOR,C,8.2,72,175,1.9470869315190513
Mark Giordano,giordma01,CGY,D,8.2,72,198,1.9470869315190513
Brandon Carlo,carlobr01,BOS,D,8.2,77,208,1.9470869315190513
Jonathan Huberdeau,huberjo01,FLA,LW,8.1,73,188,1.9226017929463093
Trevor van Riemsdyk,vanritr01,CAR,D,8,74,188,1.8981166543735675
Evgeni Dadonov,dadonev01,FLA,RW,7.8,71,185,1.8491463772280836
Jon Marchessault,audymjo01,VEG,C,7.7,69,174,1.8246612386553418
Mathieu Perreault,perrema01,WPG,C,7.7,70,188,1.8246612386553418
Jason Zucker,zuckeja01,MIN,LW,7.6,71,187,1.8001761000825998
Andrew Copp,coppan01,WPG,C,7.4,73,206,1.7512058229371161
